Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
05/05/2024;0,2;0,21;1;1;10;9;4;3;0
04/05/2024;0,18;0,18;2;1;7;6;4;2;0
03/05/2024;0,22;0,23;1;3;23;18;9;6;1
02/05/2024;0,2;0,19;1;4;21;16;7;3;0
01/05/2024;0,17;0,18;1;1;10;9;5;3;0
30/04/2024;0,22;0,23;2;4;26;20;13;7;1
29/04/2024;0,23;0,22;1;6;30;22;10;6;2
28/04/2024;0,23;0,23;1;3;19;15;7;4;1
27/04/2024;0,2;0,2;2;2;18;16;8;5;0
26/04/2024;0,16;0,17;3;14;42;21;11;7;1
25/04/2024;0,22;0,21;2;5;37;29;13;7;1
24/04/2024;0,25;0,26;2;5;25;18;11;5;2
23/04/2024;0,22;;1;2;19;17;9;5;2
22/04/2024;0,15;0,14;1;2;10;8;9;4;1
21/04/2024;0,15;0,16;2;2;11;9;10;6;2
20/04/2024;0,22;0,23;3;4;24;18;14;8;5
19/04/2024;0,22;0,22;1;7;34;24;13;6;3
18/04/2024;0,2;0,19;0;2;23;19;9;5;1
17/04/2024;0,19;0,19;1;2;13;11;7;4;1
16/04/2024;0,17;0,18;1;2;13;11;13;8;1
15/04/2024;0,2;0,2;1;1;13;12;9;5;1
14/04/2024;0,27;0,3;3;4;26;20;19;14;4
13/04/2024;0,29;0,3;4;5;36;28;23;15;6
12/04/2024;;;2;15;70;47;26;12;6
11/04/2024;0,45;0,41;1;10;48;33;19;9;4
10/04/2024;0,27;0,27;0;9;41;29;18;9;2
09/04/2024;0,14;0,13;0;2;18;15;12;6;2
08/04/2024;0,2;0,22;1;3;18;15;9;5;2
07/04/2024;0,27;0,26;2;3;27;23;18;11;3
06/04/2024;0,21;0,2;2;1;14;12;24;9;1
05/04/2024;0,22;0,23;1;2;17;14;10;4;2
04/04/2024;0,2;0,19;0;2;11;9;8;5;1
03/04/2024;0,2;0,2;1;4;18;13;6;3;1
02/04/2024;0,21;0,21;0;2;11;9;5;3;2
01/04/2024;0,2;0,2;0;1;9;8;4;3;4
31/03/2024;0,22;0,22;0;2;16;13;4;2;4
30/03/2024;0,23;0,22;0;1;16;15;4;2;4
29/03/2024;0,19;0,19;0;1;8;7;2;1;3
28/03/2024;0,18;0,18;0;1;5;4;4;2;4
27/03/2024;0,18;0,18;0;2;9;7;6;3;4
26/03/2024;0,21;0,22;0;3;21;16;5;2;6
25/03/2024;0,23;0,22;1;3;25;21;13;7;6
24/03/2024;0,2;0,2;0;1;14;12;10;6;8
23/03/2024;0,19;0,18;1;1;8;7;15;8;3
22/03/2024;0,27;0,28;3;9;35;21;29;23;4
21/03/2024;0,3;0,29;3;16;52;28;26;15;3
20/03/2024;0,26;0,25;1;2;13;11;16;12;3
19/03/2024;0,23;0,25;1;4;22;17;19;14;4
18/03/2024;0,37;0,38;2;5;28;22;16;10;5
17/03/2024;0,25;0,22;2;2;16;13;11;7;5
16/03/2024;0,28;0,31;3;4;24;19;10;6;7
15/03/2024;0,23;0,2;;7;44;34;29;13;6
14/03/2024;0,23;;;8;43;32;22;9;6
13/03/2024;0,25;0,25;1;11;55;38;17;8;10
12/03/2024;0,27;0,25;3;9;45;32;11;7;6
11/03/2024;0,24;0,23;4;2;21;18;11;7;10
10/03/2024;0,17;0,16;5;1;7;6;4;2;7
09/03/2024;0,13;0,13;6;1;7;5;2;1;5
08/03/2024;0,13;0,13;7;2;13;10;3;1;5
07/03/2024;0,16;0,19;8;2;18;15;13;6;7
06/03/2024;0,27;0,25;6;9;48;36;16;9;11
05/03/2024;0,16;0,15;7;8;37;25;12;6;8
04/03/2024;0,16;;5;2;21;18;7;4;5
03/03/2024;0,19;0,19;4;1;11;10;3;2;5
02/03/2024;0,15;0,15;6;2;12;10;4;2;5
01/03/2024;0,15;0,14;6;2;16;13;6;3;5
29/02/2024;0,17;0,19;7;3;23;19;8;5;6
28/02/2024;0,2;0,19;6;3;26;22;10;6;5
27/02/2024;0,18;0,18;2;1;9;8;10;6;4
26/02/2024;0,19;0,19;0;2;13;11;9;6;5
25/02/2024;0,17;0,18;0;1;6;5;9;4;6
24/02/2024;0,19;0,17;0;2;13;11;5;2;6
23/02/2024;0,18;0,18;0;2;16;13;6;3;7
22/02/2024;0,16;0,18;2;2;12;9;13;7;6
21/02/2024;0,31;0,31;1;24;77;40;23;11;10
20/02/2024;0,25;0,23;0;18;65;38;26;14;12
19/02/2024;0,2;0,21;1;2;19;16;8;5;5
18/02/2024;0,25;0,25;1;6;36;27;13;9;9
17/02/2024;0,23;0,22;0;9;43;30;16;10;8
16/02/2024;0,21;0,2;1;3;25;21;13;7;8
15/02/2024;0,17;0,16;2;3;21;16;16;7;5
14/02/2024;0,19;0,2;2;8;39;28;12;6;6
13/02/2024;0,24;0,26;1;12;47;30;12;7;7
12/02/2024;0,24;0,22;0;3;25;20;10;5;5
11/02/2024;0,17;0,16;0;1;10;8;6;4;6
10/02/2024;0,17;0,18;1;1;11;9;10;6;13
09/02/2024;0,17;0,16;2;4;20;15;5;3;5
08/02/2024;0,12;0,13;1;2;9;7;33;11;4
07/02/2024;0,27;0,3;3;20;55;24;32;20;9
06/02/2024;0,3;0,27;1;26;78;39;45;30;7
05/02/2024;0,29;0,29;3;29;70;26;37;27;7
04/02/2024;0,24;0,24;4;2;20;16;27;24;6
03/02/2024;0,23;0,23;4;4;27;21;17;13;6
02/02/2024;0,25;0,24;5;11;50;33;20;12;7
01/02/2024;0,26;0,29;5;22;61;28;41;22;11
31/01/2024;0,24;0,22;4;18;63;36;34;20;8
30/01/2024;0,19;0,17;4;6;31;22;23;15;5
29/01/2024;0,17;0,18;4;4;19;14;18;11;4
28/01/2024;0,17;0,18;4;1;12;11;15;10;4
27/01/2024;0,28;0,3;3;13;46;26;23;16;7
26/01/2024;0,39;0,4;5;41;99;37;42;27;13
25/01/2024;0,23;0,23;4;29;78;35;34;17;8
24/01/2024;0,35;0,33;3;44;104;37;26;13;9
23/01/2024;0,24;0,23;2;9;36;24;9;5;4
22/01/2024;0,21;0,2;2;4;17;11;8;4;4
21/01/2024;0,19;0,19;2;2;10;8;4;3;4
20/01/2024;0,25;0,28;1;6;36;27;12;9;7
19/01/2024;0,27;0,24;1;12;48;30;11;7;4
18/01/2024;0,17;0,15;2;3;15;10;7;4;3
17/01/2024;0,14;0,14;4;2;8;6;4;2;3
16/01/2024;0,25;0,3;6;17;53;27;17;9;6
15/01/2024;0,5;0,51;2;45;111;42;15;9;5
14/01/2024;0,37;0,32;3;4;27;21;9;5;4
13/01/2024;0,19;0,21;2;2;18;16;9;5;5
12/01/2024;0,33;0,33;1;26;75;35;19;14;7
11/01/2024;0,3;0,29;1;13;56;37;11;8;10
10/01/2024;0,33;0,35;2;36;85;31;22;16;6
09/01/2024;0,35;0,34;1;31;82;36;25;19;8
08/01/2024;0,27;0,26;0;17;62;36;10;6;6
07/01/2024;0,21;0,2;0;2;18;16;6;3;5
06/01/2024;0,2;0,2;1;1;11;9;7;4;8
05/01/2024;0,19;0,19;2;3;22;17;5;2;8
04/01/2024;0,18;0,22;2;3;22;17;9;5;5
03/01/2024;0,33;0,3;2;25;80;42;22;12;6
02/01/2024;0,17;0,15;2;2;11;8;9;4;3
01/01/2024;0,18;0,19;1;2;14;12;9;7;5
