Date;CO (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);CO 8h (mg/m3)
02/05/2014;;4;;;10;5;7;
01/05/2014;;6;;;9;5;7;
30/04/2014
29/04/2014
28/04/2014
27/04/2014
26/04/2014
25/04/2014
24/04/2014
23/04/2014
22/04/2014
21/04/2014
20/04/2014
19/04/2014
18/04/2014
17/04/2014
16/04/2014
15/04/2014
14/04/2014
13/04/2014
12/04/2014
11/04/2014
10/04/2014
09/04/2014
08/04/2014
07/04/2014
06/04/2014
05/04/2014
04/04/2014
03/04/2014
02/04/2014
01/04/2014
31/03/2014
30/03/2014
29/03/2014
28/03/2014
27/03/2014
26/03/2014
25/03/2014
24/03/2014
23/03/2014
22/03/2014
21/03/2014
20/03/2014
19/03/2014
18/03/2014
17/03/2014
16/03/2014
15/03/2014
14/03/2014
13/03/2014
12/03/2014
11/03/2014
10/03/2014
09/03/2014
08/03/2014
07/03/2014
06/03/2014
05/03/2014
04/03/2014
03/03/2014
02/03/2014
01/03/2014
28/02/2014
27/02/2014
26/02/2014
25/02/2014
24/02/2014
23/02/2014
22/02/2014
21/02/2014
20/02/2014
19/02/2014
18/02/2014
17/02/2014
16/02/2014
15/02/2014
14/02/2014
13/02/2014
12/02/2014
11/02/2014
10/02/2014
09/02/2014
08/02/2014
07/02/2014
06/02/2014
05/02/2014
04/02/2014
03/02/2014
02/02/2014
01/02/2014
31/01/2014
30/01/2014
29/01/2014
28/01/2014
27/01/2014
26/01/2014
25/01/2014
24/01/2014
23/01/2014
22/01/2014
21/01/2014
20/01/2014
19/01/2014;0,42;3;8;29;;;3;
18/01/2014;0,29;3;6;26;;;3;
17/01/2014;0,32;2;8;29;;;3;
16/01/2014;0,3;3;8;24;;;2;
15/01/2014;0,4;4;28;37;;;3;
14/01/2014;0,28;3;13;39;;;2;
13/01/2014;0,25;3;16;36;;;3;
12/01/2014;0,24;4;5;15;;;3;
11/01/2014;0,44;3;33;48;;;8;
10/01/2014;0,35;3;44;55;;;6;
09/01/2014;0,25;3;21;46;;;4;
08/01/2014;0,39;3;17;45;;;4;
07/01/2014;0,21;4;9;26;;;3;
06/01/2014;0,21;4;5;14;;;3;
05/01/2014;0,25;3;4;11;;;3;
04/01/2014;0,22;3;4;13;;;4;
03/01/2014;0,67;5;35;52;;;4;
02/01/2014;0,69;4;40;40;;;4;
01/01/2014;0,37;4;4;14;;;3;
